VOTE_ID;Q1.1_1;Q1.1_2;Q1.1_3;Q1.1_4;Q1.1_5;Q1.1_6;Q1.2_1;Q1.2_2;Q1.2_3;Q1.2_4;Q1.2_5;Q1.2_6;Q1.3_1;Q1.3_2;Q1.3_3;Q1.3_4;Q1.3_5;Q1.3_6;Q1.4_1;Q1.4_2;Q1.4_3;Q1.4_4;Q1.4_5;Q1.4_6;Q1.5_1;Q1.5_2;Q1.5_3;Q1.5_4;Q1.5_5;Q1.5_6;Q1.6_1;Q1.6_2;Q1.6_3;Q1.6_4;Q1.6_5;Q1.6_6;Q1.7_1;Q1.7_2;Q1.7_3;Q1.7_4;Q1.7_5;Q1.7_6;Q1.8_1;Q1.8_2;Q1.8_3;Q1.8_4;Q1.8_5;Q1.8_6;Q1.9_1;Q1.9_2;Q1.9_3;Q1.9_4;Q1.9_5;Q1.9_6;Как Вы считаете, какие еще комплексные проблемы социально-экономического развития характерны для Арктической зоны Российской Федерации? (Впишите ответ ниже)-Вопрос к блоку 1 (ОТКРЫТЫЙ);Q2.1_1;Q2.1_2;Q2.1_4;Q2.1_5;Q2.1_6;Q2.1_7;Q2.1_8;Q2.2_1;Q2.2_2;Q2.2_4;Q2.2_5;Q2.2_6;Q2.2_7;Q2.2_8;Q2.3_1;Q2.3_2;Q2.3_4;Q2.3_5;Q2.3_6;Q2.3_7;Q2.3_8;Q2.4_1;Q2.4_2;Q2.4_4;Q2.4_5;Q2.4_6;Q2.4_7;Q2.4_8;Q2.5_1;Q2.5_2;Q2.5_4;Q2.5_5;Q2.5_6;Q2.5_7;Q2.5_8;Как Вы считаете, какие еще комплексные задачи социально-экономического развития стоит сформулировать для территорий Арктической зоны Российской Федерации? (Впишите ответ ниже)-Вопрос к блоку 2 (ОТКРЫТЫЙ);Q3.1.1_1;Q3.1.1_2;Q3.1.1_3;Q3.1.1_4;Q3.1.1_5;Q3.1.1_6;Q3.1.1_7;Q3.1.1_8;Q3.1.2_1;Q3.1.2_2;Q3.1.2_3;Q3.1.2_4;Q3.1.2_5;Q3.1.2_6;Q3.1.2_7;Q3.1.2_8;Как Вы считаете, какие еще научно-технические задачи могут помочь в повышении физической и экономической доступности для населения и хозяйствующих субъектов транспортно-логистических услуг, обеспечивающих безопасную, своевременную и экономически эффективную доставку грузов и пассажиров, доступ к освоению природных ресурсов, посещению туристических объектов? (Впишите ответ ниже)-Вопрос к блоку 3.1 (ОТКРЫТЫЙ);Q3.2.1_1;Q3.2.1_2;Q3.2.1_3;Q3.2.1_4;Q3.2.1_5;Q3.2.1_6;Q3.2.1_7;Q3.2.1_8;Q3.2.2_1;Q3.2.2_2;Q3.2.2_3;Q3.2.2_4;Q3.2.2_5;Q3.2.2_6;Q3.2.2_7;Q3.2.2_8;Q3.2.3_1;Q3.2.3_2;Q3.2.3_3;Q3.2.3_4;Q3.2.3_5;Q3.2.3_6;Q3.2.3_7;Q3.2.3_8;Q3.2.4_1;Q3.2.4_2;Q3.2.4_3;Q3.2.4_4;Q3.2.4_5;Q3.2.4_6;Q3.2.4_7;Q3.2.4_8;Как Вы считаете, какие еще научно-технические задачи могут помочь в повышении физической и экономической доступности для населения и хозяйствующих субъектов услуг энергоснабжения, обеспечивающих надежность, безопасность и устойчивость систем жизнеобеспечения и производственных объектов? (Впишите ответ ниже)-Вопрос к блоку 3.2 (ОТКРЫТЫЙ);Q3.3_1;Q3.3_2;Q3.3_3;Q3.3_4;Q3.3_5;Q3.3_6;Q3.3_7;Q3.3_8;Как Вы считаете, какие еще научно-технические задачи могут помочь в улучшении жилищных условий, качества среды проживания, повышение качества жизни, создание условий для полноценной реализации человеческого потенциала в территориях с низкой плотностью населения? (Впишите ответ ниже)-Вопрос к блоку 3.3 (ОТКРЫТЫЙ);Q3.4_1;Q3.4_2;Q3.4_3;Q3.4_4;Q3.4_5;Q3.4_6;Q3.4_7;Q3.4_8;Как Вы считаете, какие еще научно-технические задачи могут помочь в повышении эксплуатационных характеристик транспортных средств и объектов инженерной и транспортной инфраструктуры? (Впишите ответ ниже)-Вопрос к блоку 3.4 (ОТКРЫТЫЙ);Q3.5_1;Q3.5_2;Q3.5_3;Q3.5_4;Q3.5_5;Q3.5_6;Q3.5_7;Q3.5_8;Как Вы считаете, какие еще научно-технические задачи могут помочь в повышении качества планирования и администрирования комплексного освоения и развития территорий, обеспечения доступа населения к основным социальным и культурным благам? (Впишите ответ ниже)-Вопрос к блоку 3.5 (ОТКРЫТЫЙ);Тип эксперта
1463;3;4;4;3;4;3;4;4;4;3;4;3;4;4;4;4;4;3;3;4;3;3;3;3;4;4;4;3;4;3;3;4;3;2;3;3;4;4;4;3;4;3;3;4;4;3;3;3;3;3;3;3;3;4;доступная (физически и экномически) связь, коммуникации, мобильность;4;4;2;4;2;4;3;4;4;2;4;3;4;4;4;4;2;3;3;4;3;4;4;3;4;3;4;4;4;4;3;4;4;3;4;0;4;4;3;3;2;2;4;3;3;4;3;3;3;3;3;4;0;4;4;4;4;2;1;4;3;4;4;4;4;0;2;4;3;3;4;2;2;3;3;2;4;4;4;4;3;2;2;4;4;0;4;4;3;3;2;2;4;4;0;3;4;3;3;2;2;3;4;0;4;4;4;3;2;2;4;4;0;Москва
1464;4;3;4;4;4;3;3;4;3;3;3;3;4;4;4;4;4;2;2;3;2;2;1;4;4;3;4;4;4;4;3;3;3;2;3;3;4;2;4;3;3;4;4;2;4;4;4;3;3;2;3;2;3;3;0;4;4;3;4;4;4;2;4;4;3;4;4;4;3;3;3;2;2;3;3;1;4;4;3;4;4;3;2;4;4;4;4;4;4;4;0;4;4;3;3;4;3;4;4;4;4;4;4;2;1;4;2;0;4;4;3;4;4;4;4;4;4;4;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;0;4;4;4;4;4;3;4;4;0;3;3;2;3;3;4;3;3;0;4;4;4;3;4;4;4;4;0;Москва
1465;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;Низкий уровень информационной связанности территорий (связь, телевидение, Интернет и пр.), низкая энерговооруженность рабочих мест и в быту, неразвитость сферы услуг;4;4;1;2;0;3;9;4;4;1;2;3;3;9;4;4;1;2;3;3;9;4;4;2;2;3;3;9;2;3;2;2;2;2;9;Низкий уровень информационной связанности территорий (связь, телевидение, Интернет и пр.), низкая энерговооруженность рабочих мест и в быту, неразвитость сферы услуг;3;3;3;3;2;9;9;9;3;3;3;3;2;9;9;9;В интерактивном режиме ответить затруднительно;3;3;3;2;2;9;9;9;3;3;3;3;2;9;9;9;3;3;3;2;2;9;9;9;3;3;3;3;2;9;9;9;В интерактивном режиме ответить затруднительно;3;3;3;3;2;3;3;4;Научно-технические задачи, решающие проблемы, указанные в дополнении к блокам 1 и 2;3;3;3;2;3;3;2;3;Создание защитных покрытий - важная, но частная задача для транспортных средств и объектов инженерной и транспортной инфраструктуры при экстремальных климатических условиях;3;3;2;2;2;4;2;4;Создание системы информационно-аналитической поддержки - важная, но частная задача для жизнеобеспечения, комплексного освоения ресурсного потенциала и развития территории;Регионы
1466;3;2;3;2;3;3;4;3;4;4;4;4;0;3;4;4;4;4;0;3;4;4;4;4;0;3;4;4;4;4;0;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;0;4;4;1;3;2;4;2;3;3;1;3;3;4;2;4;4;1;2;3;4;1;2;3;3;3;3;3;3;2;3;3;3;2;9;9;0;4;4;4;4;1;1;4;2;4;4;4;4;1;1;4;2;развитие интернет-технологий, обеспечение доступной скоростной интернет-связи;9;9;9;9;9;9;9;9;3;3;4;4;9;9;9;9;3;3;3;3;2;2;3;3;3;3;3;3;2;2;3;3;0;3;3;3;3;2;2;2;2;0;3;3;2;3;3;3;2;4;0;2;2;2;2;2;3;9;9;0;Москва
1467;3;3;0;2;3;3;3;3;2;2;0;3;3;3;3;3;3;3;4;3;3;3;4;4;4;3;4;4;4;4;3;3;3;2;3;4;4;3;4;4;4;4;3;3;3;3;3;2;3;3;4;2;4;4;0;4;4;3;4;4;4;2;4;4;2;4;4;4;2;3;4;2;4;4;3;2;3;4;3;4;4;3;2;3;4;3;4;4;4;3;Миграционная привлекательность региона, в т.ч. за счёт безусловного базового дохода;4;4;4;4;2;2;4;3;4;4;4;4;3;2;4;3;Автоматизированные системы приёма/отправки грузов/пассажиров;4;4;4;4;3;2;4;3;4;4;4;3;3;2;4;3;4;4;3;3;3;2;4;3;4;4;4;4;2;2;4;3;0;4;4;4;4;2;2;4;3;0;3;4;3;3;3;3;3;3;0;4;4;4;3;3;3;3;3;Создание сети арктических хабов, связывающих территорию в логистически выверенную сеть;Москва
1468;4;4;4;4;4;3;0;3;4;3;4;4;0;9;9;9;9;4;4;4;4;4;4;3;4;4;4;3;4;4;9;9;9;9;9;3;4;3;4;3;3;3;9;9;9;9;9;3;9;9;9;9;9;4;0;3;4;2;3;3;3;4;3;4;2;3;3;3;4;9;4;4;4;4;3;4;2;4;3;3;3;2;4;4;3;4;4;2;4;3;0;3;4;4;4;3;1;4;4;2;3;3;4;2;1;4;3;0;4;4;4;3;2;1;4;3;2;3;3;4;3;3;3;3;2;4;2;3;2;2;2;3;3;3;3;3;2;2;3;3;0;2;3;3;4;2;2;2;3;0;9;4;9;3;3;3;2;4;0;4;4;4;3;3;3;3;4;0;Москва
1469;3;3;4;2;2;3;3;3;4;3;3;4;4;4;4;3;3;3;3;3;3;2;3;3;4;3;3;4;3;3;4;3;4;2;3;2;3;2;3;2;3;3;3;2;4;4;3;9;3;3;4;2;4;4;"Отсутствие образовательных возможностей, сравнимых с ""большой землей"". Недостаточная квалификация управленческих кадров. Резко суженные возможности самореализации молодежи.";4;4;1;3;3;3;2;3;4;3;4;4;4;3;4;2;2;2;2;2;1;3;4;2;3;3;3;3;4;4;4;4;2;4;4;"Усиление логистической связности по ""параллелям"". Создание новых социальных институтов. Формирование соответствующей специфике региона системы образования. Возрождение культуры.";4;3;3;4;2;9;9;3;3;3;3;2;2;9;9;3;0;3;4;2;4;4;9;9;0;3;3;3;2;3;0;9;3;3;4;4;3;2;9;9;4;4;4;4;4;3;9;9;3;Новая культура энергопотребления.;3;3;3;2;2;9;9;2;Комплексное развитие регионов и территорий, преодоление моноотраслевой структуры, создание благоприятной социальной среды. Повышение рождаемости.;3;3;3;2;3;9;9;2;0;4;4;4;2;4;9;9;4;Создание автоматизированной системы мониторинга информационной ситуации. Разработка адекватной молодежной политики.;Москва
1470;4;3;3;9;3;4;4;3;3;3;3;3;4;4;3;3;3;3;4;3;4;4;4;4;4;3;4;4;4;4;3;4;4;0;3;4;4;3;4;4;4;4;2;2;2;0;3;3;4;4;4;3;3;3;0;4;3;2;2;2;3;3;4;3;2;2;3;3;3;4;2;2;2;2;3;1;4;3;3;2;2;3;1;4;3;3;2;2;3;3;0;3;3;3;4;2;1;9;3;3;3;3;3;3;9;9;9;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;4;4;3;4;3;9;9;9;4;4;4;4;1;9;9;9;0;3;2;4;4;1;1;3;1;0;3;3;3;4;2;9;9;9;0;4;1;4;4;1;1;4;1;0;Москва
1475;3;3;3;3;3;3;4;3;1;3;3;3;3;2;4;3;4;3;3;3;3;3;3;3;4;3;4;3;3;3;3;2;3;2;3;4;3;2;3;3;3;3;3;2;3;3;3;3;2;2;2;3;3;4;0;4;3;2;3;3;3;2;4;4;2;3;3;3;2;4;4;2;3;3;3;2;2;3;2;3;3;2;2;4;9;3;3;2;3;1;0;3;3;3;3;4;3;4;2;3;3;3;3;3;2;4;2;0;3;3;3;3;3;3;3;3;3;2;3;3;2;2;2;1;3;3;3;3;3;2;4;3;3;3;3;3;3;2;4;3;0;3;2;2;4;2;1;2;1;0;3;3;3;3;2;2;3;2;0;3;3;3;3;3;3;3;3;0;Москва
1477;4;4;3;3;4;3;3;4;3;2;3;3;4;4;4;3;4;4;3;3;4;4;4;3;4;3;4;4;3;3;3;2;3;3;3;4;4;3;4;4;4;2;2;1;2;2;2;3;3;3;2;2;2;4;Обеспечение доступа местного населения к рабочим местам и корпоративной инфраструктуре предприятий, работающих вахтовым методом.;4;3;2;2;3;3;2;3;4;3;4;4;4;3;4;4;1;2;2;2;1;3;4;3;4;4;2;3;4;4;4;4;2;4;4;0;4;4;2;2;3;3;3;4;4;3;3;4;1;1;4;2;Создание современных инновационных систем длительного хранения продуктов, с получением идентичных свежим по выходу из хранения.;4;4;2;3;3;2;3;4;4;4;4;4;1;2;4;3;2;3;3;3;3;3;2;3;4;4;4;4;2;2;4;3;Разработка технологий местной выработки водорода из возобновляемых источников и его использования в качестве моторного топлива для местного транспорта.;4;3;4;4;2;1;4;3;Разработка систем автономной утилизации бытовых и коммунальных отходов с минимизацией вывозимого остатка.;3;4;3;3;3;3;4;4;Создание систем производства деталей машин на месте (3Д-печать и т.д.), не требующих значительных материальных ресурсов или излишней квалификации рабочей силы.;3;4;2;2;3;3;2;4;Системы автоматизированного сбора данных о состоянии территорий, погодной и климатической обстановке, экономической и деловой активности.;Москва
